mes_ano,notificacoes,censitario,quarteirao
202201,2,354980505000001P,4456
202201,1,354980505000001P,4528
202201,1,354980505000004P,4448
202201,1,354980505000005P,4497
202201,1,354980505000010P,4568
202201,1,354980505000012P,4482
202201,1,354980505000013P,4552
202201,1,354980505000020P,4630
202201,1,354980505000020P,4676
202201,1,354980505000027P,4425
202201,1,354980505000028P,4427
202201,2,354980505000029P,4465
202201,3,354980505000029P,4542
202201,1,354980505000030P,4442
202201,1,354980505000031P,5101
202201,1,354980505000031P,5109
202201,1,354980505000032P,3993
202201,1,354980505000033P,3980
202201,1,354980505000034P,4067
202201,1,354980505000036P,4078
202201,1,354980505000040P,5362
202201,2,354980505000040P,5399
202201,2,354980505000045P,4594
202201,1,354980505000046P,4452
202201,1,354980505000048P,4475
202201,1,354980505000048P,4690
202201,1,354980505000049P,4433
202201,1,354980505000052P,4950
202201,1,354980505000055P,3985
202201,2,354980505000058P,3606
202201,1,354980505000058P,3636
202201,1,354980505000058P,3648
202201,1,354980505000061P,3046
202201,1,354980505000061P,3624
202201,1,354980505000066P,5194
202201,1,354980505000067P,5364
202201,1,354980505000070P,4625
202201,1,354980505000072P,4635
202201,1,354980505000075P,6074
202201,1,354980505000080P,4123
202201,1,354980505000080P,4124
202201,1,354980505000081P,3600
202201,1,354980505000081P,3609
202201,1,354980505000082P,3068
202201,1,354980505000082P,3077
202201,1,354980505000082P,3083
202201,1,354980505000083P,3088
202201,1,354980505000083P,3633
202201,1,354980505000084P,3037
202201,1,354980505000087P,3073
202201,1,354980505000089P,5265
202201,1,354980505000089P,5336
202201,1,354980505000094P,5033
202201,1,354980505000094P,7564
202201,1,354980505000095P,4978
202201,1,354980505000096P,5059
202201,1,354980505000102P,4161
202201,1,354980505000102P,4166
202201,1,354980505000105P,3598
202201,2,354980505000105P,3623
202201,1,354980505000107P,3042
202201,1,354980505000109P,3056
202201,2,354980505000109P,3081
202201,1,354980505000111P,3049
202201,1,354980505000114P,4307
202201,1,354980505000114P,4322
202201,1,354980505000114P,4323
202201,1,354980505000115P,4313
202201,1,354980505000115P,4330
202201,1,354980505000116P,4379
202201,1,354980505000118P,4345
202201,1,354980505000118P,4383
202201,1,354980505000119P,4310
202201,1,354980505000119P,4335
202201,1,354980505000119P,4336
202201,1,354980505000127P,5447
202201,1,354980505000127P,5449
202201,1,354980505000129P,5448
202201,1,354980505000130P,5459
202201,1,354980505000134P,5674
202201,1,354980505000134P,5721
202201,1,354980505000139P,5561
202201,1,354980505000140P,6249
202201,1,354980505000142P,6231
202201,1,354980505000145P,5567
202201,1,354980505000148P,5580
202201,1,354980505000148P,5736
202201,2,354980505000149P,5556
202201,1,354980505000157P,6237
202201,1,354980505000157P,6253
202201,1,354980505000158P,6224
202201,1,354980505000166P,5595
202201,1,354980505000166P,5596
202201,1,354980505000166P,5691
202201,1,354980505000169P,5657
202201,1,354980505000169P,5850
202201,1,354980505000171P,5876
202201,2,354980505000171P,5877
202201,1,354980505000174P,6172
202201,1,354980505000178P,6157
202201,1,354980505000178P,6212
202201,1,354980505000179P,6385
202201,2,354980505000180P,6380
202201,1,354980505000182P,6359
202201,1,354980505000184P,6375
202201,1,354980505000187P,10407
202201,1,354980505000191P,7106
202201,3,354980505000193P,6492
202201,1,354980505000193P,6495
202201,1,354980505000193P,6496
202201,1,354980505000193P,6498
202201,2,354980505000201P,5813
202201,1,354980505000204P,5795
202201,1,354980505000208P,1196
202201,1,354980505000209P,1173
202201,1,354980505000210P,1250
202201,1,354980505000210P,1265
202201,1,354980505000211P,2645
202201,1,354980505000213P,1291
202201,1,354980505000214P,1191
202201,1,354980505000215P,2382
202201,1,354980505000216P,1188
202201,1,354980505000216P,1223
202201,2,354980505000216P,1251
202201,1,354980505000216P,1256
202201,1,354980505000218P,1274
202201,1,354980505000221P,2663
202201,1,354980505000222P,4548
202201,1,354980505000225P,1290
202201,1,354980505000226P,1298
202201,1,354980505000227P,2355
202201,1,354980505000230P,2264
202201,3,354980505000232P,2356
202201,1,354980505000234P,1246
202201,1,354980505000235P,2660
202201,1,354980505000235P,2692
202201,3,354980505000235P,2696
202201,1,354980505000235P,2697
202201,1,354980505000238P,2640
202201,1,354980505000238P,2685
202201,1,354980505000239P,2604
202201,1,354980505000239P,2649
202201,1,354980505000239P,2705
202201,2,354980505000242P,1965
202201,1,354980505000242P,1966
202201,1,354980505000243P,1945
202201,1,354980505000247P,2318
202201,1,354980505000247P,2319
202201,1,354980505000248P,2221
202201,1,354980505000256P,1972
202201,1,354980505000256P,1994
202201,1,354980505000256P,2095
202201,1,354980505000258P,1991
202201,1,354980505000258P,1993
202201,1,354980505000258P,2127
202201,1,354980505000259P,2028
202201,1,354980505000259P,2044
202201,1,354980505000262P,1661
202201,1,354980505000263P,1625
202201,1,354980505000263P,1640
202201,1,354980505000263P,1644
202201,1,354980505000266P,2315
202201,1,354980505000266P,2331
202201,1,354980505000274P,3381
202201,3,354980505000274P,3402
202201,1,354980505000278P,2143
202201,1,354980505000279P,2092
202201,1,354980505000281P,1948
202201,2,354980505000282P,2063
202201,1,354980505000285P,1637
202201,1,354980505000285P,1675
202201,2,354980505000290P,1008
202201,1,354980505000299P,3446
202201,1,354980505000300P,3429
202201,1,354980505000300P,3455
202201,1,354980505000300P,4295
202201,1,354980505000301P,3366
202201,1,354980505000301P,3367
202201,1,354980505000301P,3369
202201,1,354980505000304P,2723
202201,1,354980505000306P,2076
202201,1,354980505000306P,2079
202201,1,354980505000307P,2057
202201,1,354980505000308P,1951
202201,1,354980505000310P,1977
202201,1,354980505000310P,2103
202201,1,354980505000312P,2091
202201,2,354980505000313P,2023
202201,1,354980505000313P,2036
202201,1,354980505000315P,1691
202201,1,354980505000328P,934
202201,2,354980505000328P,956
202201,1,354980505000329P,937
202201,1,354980505000329P,962
202201,1,354980505000330P,2378
202201,3,354980505000334P,1312
202201,2,354980505000334P,1318
202201,1,354980505000337P,2451
202201,1,354980505000339P,2474
202201,1,354980505000340P,2423
202201,1,354980505000340P,2456
202201,1,354980505000344P,1319
202201,1,354980505000347P,1345
202201,1,354980505000348P,1375
202201,1,354980505000348P,1378
202201,1,354980505000351P,2933
202201,1,354980505000352P,2944
202201,2,354980505000357P,2526
202201,1,354980505000358P,2436
202201,1,354980505000359P,2424
202201,1,354980505000359P,2458
202201,1,354980505000359P,2524
202201,1,354980505000363P,1445
202201,1,354980505000365P,1494
202201,1,354980505000365P,1517
202201,1,354980505000365P,1533
202201,1,354980505000365P,1534
202201,1,354980505000366P,1532
202201,1,354980505000368P,1411
202201,1,354980505000369P,1596
202201,1,354980505000372P,1427
202201,1,354980505000373P,7303
202201,1,354980505000381P,3567
202201,1,354980505000385P,3906
202201,1,354980505000385P,3920
202201,1,354980505000388P,3878
202201,1,354980505000388P,3924
202201,1,354980505000391P,2446
202201,1,354980505000391P,3484
202201,1,354980505000392P,2536
202201,1,354980505000392P,2543
202201,1,354980505000398P,1514
202201,2,354980505000400P,1413
202201,1,354980505000400P,1417
202201,1,354980505000400P,1424
202201,1,354980505000407P,3784
202201,1,354980505000407P,3837
202201,1,354980505000408P,3833
202201,1,354980505000409P,3805
202201,1,354980505000414P,3764
202201,1,354980505000422P,2169
202201,1,354980505000424P,4171
202201,1,354980505000425P,4368
202201,2,354980505000428P,5669
202201,1,354980505000429P,5855
202201,1,354980505000429P,5857
202201,1,354980505000429P,5860
202201,2,354980505000432P,6185
202201,5,354980505000432P,6192
202201,1,354980505000437P,6545
202201,2,354980505000443P,3425
202201,1,354980505000448P,2308
202201,1,354980505000448P,2309
202201,1,354980505000450P,3751
202201,1,354980505000451P,2743
202201,2,354980505000457P,1336
202201,1,354980505000457P,2897
202201,1,354980505000457P,2898
202201,1,354980505000459P,1457
202201,1,354980505000459P,1487
202201,2,354980505000460P,1843
202201,2,354980505000465P,1392
202201,1,354980505000465P,1507
202201,1,354980505000472P,1023
202201,1,354980505000472P,1026
202201,1,354980505000475P,42
202201,1,354980505000475P,50
202201,1,354980505000477P,29
202201,1,354980505000480P,7046
202201,1,354980505000482P,4747
202201,2,354980505000483P,679
202201,1,354980505000506P,6129
202201,1,354980505000506P,6130
202201,1,354980505000512P,6542
202201,1,354980505000513P,6537
202201,1,354980505000515P,7108
202201,4,354980505000521P,4533
202201,1,354980505000526P,2783
202201,1,354980505000526P,2849
202201,1,354980505000532P,2148
202201,1,354980505000532P,3312
202201,1,354980505000533P,1959
202201,1,354980505000533P,2062
202201,1,354980505000533P,2134
202201,1,354980505000535P,772
202201,1,354980505000535P,775
202201,1,354980505000535P,797
202201,2,354980505000536P,784
202201,1,354980505000537P,474
202201,1,354980505000537P,480
202201,1,354980505000537P,9814
202201,2,354980505000538P,7553
202201,1,354980505000545P,3275
202201,1,354980505000550P,5434
202201,1,354980505000564P,381
202201,1,354980505000574P,352
202201,1,354980505000582P,4136
202201,1,354980505000583P,4085
202201,1,354980505000584P,4661
202201,1,354980505000586P,4144
202201,1,354980505000587P,4030
202201,1,354980505000587P,4140
202201,1,354980505000588P,4080
202201,1,354980505000589P,3979
202201,1,354980505000591P,4018
202201,1,354980505000593P,5357
202201,2,354980505000593P,5427
202201,1,354980505000595P,4432
202201,1,354980505000596P,3611
202201,1,354980505000596P,3634
202201,1,354980505000598P,5236
202201,1,354980505000600P,5260
202201,2,354980505000600P,5403
202201,1,354980505000601P,5320
202201,1,354980505000604P,5018
202201,1,354980505000611P,5310
202201,1,354980505000612P,5328
202201,1,354980505000617P,3860
202201,1,354980505000618P,3866
202201,1,354980505000618P,7451
202201,1,354980505000621P,4261
202201,1,354980505000622P,4262
202201,1,354980505000622P,9457
202201,1,354980505000623P,3957
202201,1,354980505000625P,3605
202201,1,354980505000625P,3615
202201,1,354980505000626P,4147
202201,1,354980505000628P,2515
202201,1,354980505000630P,1098
202201,1,354980505000631P,1095
202201,1,354980505000632P,1109
202201,1,354980505000633P,1508
202201,1,354980505000633P,1522
202201,1,354980505000636P,1420
202201,1,354980505000637P,2967
202201,1,354980505000638P,2949
202201,1,354980505000640P,1073
202201,1,354980505000642P,1575
202201,1,354980505000643P,1430
202201,1,354980505000644P,1572
202201,1,354980505000644P,1601
202201,1,354980505000645P,1467
202201,1,354980505000645P,1598
202201,1,354980505000649P,3594
202201,1,354980505000650P,3566
202201,1,354980505000650P,3581
202201,1,354980505000651P,2420
202201,1,354980505000652P,2530
202201,1,354980505000655P,1402
202201,1,354980505000655P,1549
202201,1,354980505000655P,1574
202201,1,354980505000657P,10251
202201,1,354980505000659P,9257
202201,1,354980505000663P,1541
202201,1,354980505000664P,1499
202201,1,354980505000664P,1501
202201,1,354980505000665P,1506
202201,2,354980505000665P,1529
202201,2,354980505000666P,1416
202201,1,354980505000666P,1490
202201,1,354980505000670P,3809
202201,1,354980505000673P,10423
202201,1,354980505000675P,3823
202201,1,354980505000677P,3497
202201,1,354980505000678P,1563
202201,1,354980505000678P,7508
202201,1,354980505000679P,7506
202201,1,354980505000682P,4367
202201,1,354980505000683P,4304
202201,1,354980505000683P,4375
202201,1,354980505000683P,4380
202201,1,354980505000686P,5466
202201,1,354980505000686P,5532
202201,1,354980505000687P,6107
202201,1,354980505000688P,6112
202201,1,354980505000689P,5452
202201,2,354980505000691P,5456
202201,2,354980505000693P,5711
202201,1,354980505000695P,5704
202201,1,354980505000695P,5705
202201,1,354980505000697P,6230
202201,1,354980505000698P,6247
202201,1,354980505000700P,5632
202201,1,354980505000702P,5588
202201,1,354980505000703P,5644
202201,1,354980505000704P,5701
202201,1,354980505000706P,5661
202201,2,354980505000707P,5668
202201,2,354980505000710P,6288
