mes_ano,notificacoes,censitario,quarteirao
202211,1,354980505000001P,4419
202211,1,354980505000001P,4532
202211,1,354980505000020P,4676
202211,1,354980505000028P,4510
202211,1,354980505000032P,5091
202211,2,354980505000034P,4067
202211,1,354980505000034P,4132
202211,1,354980505000047P,4463
202211,1,354980505000051P,4998
202211,1,354980505000052P,4980
202211,1,354980505000054P,4023
202211,1,354980505000073P,4476
202211,1,354980505000073P,4480
202211,1,354980505000073P,4689
202211,1,354980505000075P,5047
202211,1,354980505000079P,3962
202211,1,354980505000079P,4037
202211,1,354980505000079P,4120
202211,1,354980505000081P,3609
202211,1,354980505000087P,3033
202211,1,354980505000087P,3064
202211,1,354980505000090P,5249
202211,1,354980505000094P,5020
202211,1,354980505000094P,7564
202211,1,354980505000096P,4966
202211,1,354980505000096P,5037
202211,1,354980505000107P,3070
202211,1,354980505000110P,3021
202211,1,354980505000115P,4330
202211,1,354980505000118P,4357
202211,1,354980505000119P,4350
202211,1,354980505000124P,6101
202211,1,354980505000135P,5571
202211,1,354980505000138P,5683
202211,1,354980505000139P,5561
202211,2,354980505000142P,6229
202211,1,354980505000145P,5567
202211,1,354980505000166P,5686
202211,1,354980505000169P,5890
202211,1,354980505000171P,5875
202211,2,354980505000174P,6169
202211,1,354980505000178P,6206
202211,1,354980505000179P,6388
202211,1,354980505000180P,6316
202211,1,354980505000180P,6326
202211,1,354980505000187P,10407
202211,1,354980505000193P,6498
202211,1,354980505000197P,6030
202211,1,354980505000201P,5800
202211,1,354980505000207P,1236
202211,1,354980505000208P,1170
202211,1,354980505000208P,1183
202211,1,354980505000210P,1260
202211,2,354980505000222P,4548
202211,1,354980505000224P,1225
202211,1,354980505000227P,2268
202211,1,354980505000232P,2231
202211,1,354980505000233P,2248
202211,1,354980505000235P,2697
202211,1,354980505000235P,2703
202211,1,354980505000238P,2549
202211,1,354980505000239P,2609
202211,1,354980505000242P,1966
202211,1,354980505000248P,2221
202211,1,354980505000248P,2222
202211,1,354980505000252P,3408
202211,1,354980505000261P,1935
202211,1,354980505000266P,2315
202211,1,354980505000274P,3357
202211,1,354980505000278P,2140
202211,1,354980505000279P,2017
202211,1,354980505000281P,1948
202211,1,354980505000281P,2049
202211,1,354980505000284P,1679
202211,1,354980505000285P,1664
202211,1,354980505000285P,1675
202211,1,354980505000290P,1004
202211,1,354980505000296P,3350
202211,1,354980505000300P,3452
202211,1,354980505000301P,3320
202211,1,354980505000301P,3365
202211,1,354980505000301P,3367
202211,1,354980505000302P,3460
202211,1,354980505000304P,2720
202211,1,354980505000306P,2076
202211,1,354980505000307P,2054
202211,1,354980505000307P,2057
202211,1,354980505000307P,2060
202211,1,354980505000308P,1950
202211,1,354980505000308P,1951
202211,1,354980505000308P,2082
202211,1,354980505000308P,2083
202211,1,354980505000308P,2113
202211,1,354980505000313P,2023
202211,1,354980505000313P,2036
202211,1,354980505000315P,1712
202211,1,354980505000328P,957
202211,1,354980505000329P,962
202211,1,354980505000330P,859
202211,1,354980505000330P,860
202211,1,354980505000330P,2378
202211,1,354980505000333P,1335
202211,1,354980505000334P,1366
202211,1,354980505000336P,2965
202211,1,354980505000341P,1076
202211,1,354980505000349P,1618
202211,1,354980505000351P,2993
202211,1,354980505000354P,2962
202211,1,354980505000355P,2466
202211,1,354980505000358P,2508
202211,1,354980505000359P,2416
202211,1,354980505000359P,2458
202211,1,354980505000360P,2499
202211,1,354980505000363P,1553
202211,1,354980505000364P,1405
202211,1,354980505000365P,1493
202211,1,354980505000365P,1494
202211,1,354980505000366P,1532
202211,1,354980505000368P,1521
202211,1,354980505000369P,1422
202211,1,354980505000372P,1427
202211,1,354980505000375P,3204
202211,1,354980505000378P,3217
202211,1,354980505000379P,3169
202211,1,354980505000381P,2982
202211,1,354980505000383P,3586
202211,1,354980505000384P,3563
202211,1,354980505000385P,3922
202211,1,354980505000398P,1585
202211,1,354980505000400P,1474
202211,1,354980505000400P,1503
202211,1,354980505000407P,3784
202211,1,354980505000407P,3811
202211,1,354980505000413P,3800
202211,1,354980505000413P,3843
202211,1,354980505000414P,3500
202211,1,354980505000424P,4171
202211,1,354980505000426P,5609
202211,1,354980505000426P,5647
202211,1,354980505000428P,5669
202211,1,354980505000429P,5857
202211,1,354980505000437P,6280
202211,1,354980505000437P,6420
202211,1,354980505000437P,6521
202211,1,354980505000440P,5922
202211,1,354980505000447P,922
202211,1,354980505000448P,2308
202211,1,354980505000450P,3715
202211,1,354980505000450P,3732
202211,1,354980505000460P,1843
202211,1,354980505000465P,1392
202211,1,354980505000465P,1436
202211,1,354980505000466P,2827
202211,1,354980505000476P,5
202211,1,354980505000476P,20
202211,1,354980505000498P,1548
202211,1,354980505000506P,6127
202211,1,354980505000520P,4695
202211,1,354980505000521P,4533
202211,1,354980505000525P,2824
202211,1,354980505000535P,788
202211,1,354980505000535P,789
202211,1,354980505000536P,786
202211,1,354980505000536P,792
202211,1,354980505000537P,472
202211,2,354980505000538P,7553
202211,1,354980505000545P,3275
202211,1,354980505000574P,352
202211,2,354980505000577P,9221
202211,1,354980505000579P,4547
202211,1,354980505000583P,4085
202211,1,354980505000584P,4663
202211,1,354980505000585P,4646
202211,1,354980505000593P,5368
202211,1,354980505000595P,4432
202211,1,354980505000599P,5298
202211,1,354980505000601P,5228
202211,1,354980505000601P,5320
202211,1,354980505000601P,5321
202211,1,354980505000604P,5018
202211,1,354980505000608P,3025
202211,1,354980505000608P,3039
202211,1,354980505000610P,5333
202211,1,354980505000612P,5351
202211,1,354980505000614P,3971
202211,1,354980505000614P,3973
202211,1,354980505000622P,9457
202211,1,354980505000623P,3959
202211,2,354980505000624P,3954
202211,1,354980505000624P,4172
202211,1,354980505000633P,1381
202211,2,354980505000633P,1382
202211,3,354980505000633P,1398
202211,1,354980505000634P,1401
202211,1,354980505000635P,1460
202211,1,354980505000637P,2968
202211,2,354980505000639P,1078
202211,1,354980505000640P,1135
202211,1,354980505000643P,1429
202211,1,354980505000645P,1464
202211,1,354980505000646P,1386
202211,1,354980505000651P,2513
202211,1,354980505000655P,1393
202211,2,354980505000659P,9257
202211,1,354980505000663P,1485
202211,1,354980505000664P,1499
202211,1,354980505000665P,1480
202211,1,354980505000666P,1490
202211,1,354980505000667P,1450
202211,1,354980505000668P,1426
202211,1,354980505000669P,3812
202211,1,354980505000673P,3822
202211,1,354980505000676P,3494
202211,1,354980505000677P,3761
202211,1,354980505000681P,1368
202211,2,354980505000682P,4363
202211,1,354980505000689P,5451
202211,1,354980505000689P,5469
202211,1,354980505000696P,5675
202211,1,354980505000697P,6243
202211,1,354980505000699P,5586
202211,2,354980505000700P,5607
202211,1,354980505000701P,5592
202211,1,354980505000702P,5588
202211,1,354980505000703P,5590
202211,1,354980505000705P,5575
202211,1,354980505000708P,6242
202211,1,354980505000708P,6257
202211,1,354980505000710P,6315
202211,1,354980505000711P,6327
202211,1,354980505000717P,6240
202211,1,354980505000719P,5603
202211,1,354980505000723P,5645
202211,1,354980505000724P,5589
202211,1,354980505000727P,5680
202211,1,354980505000727P,5843
202211,1,354980505000728P,5834
202211,1,354980505000731P,5547
202211,1,354980505000741P,6290
202211,1,354980505000744P,6528
202211,1,354980505000745P,6404
202211,1,354980505000751P,6034
202211,2,354980505000754P,6022
202211,3,354980505000757P,6277
202211,1,354980505000759P,5778
202211,1,354980505000762P,5568
202211,3,354980505000764P,5942
202211,1,354980505000769P,5794
