mes_ano,notificacoes,censitario,quarteirao
202301,1,354980505000003P,3774
202301,1,354980505000004P,3775
202301,1,354980505000004P,3776
202301,1,354980505000006P,4567
202301,1,354980505000016P,4029
202301,1,354980505000019P,5479
202301,1,354980505000019P,7322
202301,1,354980505000020P,4676
202301,1,354980505000022P,4407
202301,1,354980505000026P,4505
202301,1,354980505000027P,4464
202301,2,354980505000028P,4427
202301,2,354980505000029P,4542
202301,1,354980505000030P,4442
202301,1,354980505000030P,4559
202301,1,354980505000031P,5083
202301,1,354980505000031P,5102
202301,1,354980505000033P,5095
202301,2,354980505000040P,5209
202301,1,354980505000040P,5362
202301,1,354980505000041P,5358
202301,1,354980505000041P,5426
202301,2,354980505000045P,4590
202301,1,354980505000054P,4076
202301,1,354980505000055P,4139
202301,1,354980505000061P,3058
202301,1,354980505000061P,3065
202301,1,354980505000061P,3616
202301,1,354980505000062P,5262
202301,2,354980505000065P,5252
202301,1,354980505000066P,5224
202301,1,354980505000066P,5371
202301,1,354980505000066P,5379
202301,1,354980505000072P,4634
202301,1,354980505000073P,4476
202301,1,354980505000075P,5077
202301,1,354980505000081P,3632
202301,1,354980505000084P,3087
202301,1,354980505000089P,5263
202301,1,354980505000089P,5265
202301,1,354980505000089P,5337
202301,1,354980505000090P,5269
202301,1,354980505000094P,5004
202301,1,354980505000094P,5020
202301,1,354980505000095P,4968
202301,1,354980505000095P,4978
202301,1,354980505000096P,5037
202301,1,354980505000105P,3655
202301,1,354980505000106P,3047
202301,1,354980505000106P,3099
202301,1,354980505000109P,3081
202301,1,354980505000111P,4296
202301,1,354980505000116P,4381
202301,1,354980505000118P,4358
202301,1,354980505000119P,4310
202301,1,354980505000119P,4337
202301,1,354980505000123P,6123
202301,1,354980505000123P,6143
202301,1,354980505000124P,6101
202301,1,354980505000127P,5449
202301,1,354980505000130P,5457
202301,1,354980505000134P,5562
202301,1,354980505000135P,5720
202301,1,354980505000138P,5685
202301,1,354980505000139P,5561
202301,1,354980505000145P,5734
202301,1,354980505000148P,5578
202301,1,354980505000148P,5746
202301,1,354980505000151P,6268
202301,1,354980505000152P,6267
202301,1,354980505000157P,6237
202301,1,354980505000157P,6253
202301,1,354980505000158P,6224
202301,1,354980505000174P,6166
202301,1,354980505000174P,6167
202301,1,354980505000174P,6170
202301,1,354980505000178P,6158
202301,1,354980505000178P,6205
202301,1,354980505000178P,6212
202301,2,354980505000180P,6316
202301,2,354980505000180P,6379
202301,1,354980505000182P,6351
202301,1,354980505000184P,6313
202301,1,354980505000184P,6374
202301,1,354980505000187P,10407
202301,1,354980505000193P,6495
202301,1,354980505000208P,1170
202301,1,354980505000208P,1196
202301,2,354980505000208P,1198
202301,1,354980505000210P,1272
202301,1,354980505000211P,2569
202301,1,354980505000211P,2699
202301,1,354980505000212P,1149
202301,1,354980505000212P,1220
202301,1,354980505000213P,1199
202301,1,354980505000215P,1217
202301,1,354980505000221P,2571
202301,2,354980505000222P,4548
202301,3,354980505000227P,2268
202301,1,354980505000227P,2326
202301,1,354980505000228P,2271
202301,1,354980505000228P,2272
202301,1,354980505000232P,2231
202301,1,354980505000232P,2359
202301,1,354980505000235P,2660
202301,1,354980505000235P,2704
202301,1,354980505000238P,2595
202301,1,354980505000238P,2657
202301,1,354980505000239P,2604
202301,1,354980505000239P,2705
202301,1,354980505000242P,1965
202301,1,354980505000248P,2221
202301,1,354980505000248P,2222
202301,1,354980505000248P,2322
202301,1,354980505000258P,1991
202301,1,354980505000258P,1992
202301,1,354980505000258P,2127
202301,2,354980505000263P,1625
202301,1,354980505000263P,1640
202301,1,354980505000274P,3371
202301,1,354980505000274P,3402
202301,3,354980505000276P,3302
202301,1,354980505000278P,2143
202301,1,354980505000278P,2144
202301,1,354980505000279P,2032
202301,1,354980505000279P,2033
202301,1,354980505000281P,1948
202301,1,354980505000281P,2047
202301,1,354980505000281P,2064
202301,1,354980505000282P,2063
202301,1,354980505000284P,1686
202301,1,354980505000284P,1711
202301,1,354980505000285P,1633
202301,1,354980505000285P,1639
202301,1,354980505000286P,1666
202301,1,354980505000290P,1005
202301,1,354980505000300P,3319
202301,1,354980505000300P,4295
202301,1,354980505000301P,3367
202301,1,354980505000304P,2719
202301,1,354980505000306P,2077
202301,1,354980505000307P,2058
202301,1,354980505000307P,2060
202301,1,354980505000308P,1951
202301,1,354980505000308P,2082
202301,1,354980505000309P,2066
202301,1,354980505000310P,1976
202301,1,354980505000312P,2112
202301,1,354980505000314P,1984
202301,1,354980505000314P,1985
202301,1,354980505000314P,2004
202301,1,354980505000317P,1689
202301,1,354980505000329P,959
202301,2,354980505000329P,962
202301,1,354980505000330P,834
202301,1,354980505000330P,859
