mes_ano,notificacoes,censitario,quarteirao
202205,2,354980505000001P,4528
202205,2,354980505000003P,3774
202205,2,354980505000004P,4448
202205,1,354980505000004P,4544
202205,1,354980505000005P,4429
202205,1,354980505000005P,4497
202205,1,354980505000005P,4522
202205,3,354980505000006P,4549
202205,1,354980505000006P,4558
202205,4,354980505000009P,4516
202205,1,354980505000009P,4525
202205,2,354980505000010P,4423
202205,1,354980505000010P,4438
202205,1,354980505000010P,4502
202205,1,354980505000013P,4424
202205,2,354980505000013P,4492
202205,1,354980505000013P,4552
202205,1,354980505000016P,4029
202205,1,354980505000016P,4084
202205,1,354980505000016P,4096
202205,1,354980505000016P,4149
202205,1,354980505000019P,4617
202205,2,354980505000020P,4630
202205,1,354980505000020P,4631
202205,9,354980505000020P,4676
202205,1,354980505000022P,4417
202205,2,354980505000022P,4481
202205,1,354980505000023P,4404
202205,1,354980505000026P,4505
202205,1,354980505000027P,4464
202205,2,354980505000028P,4427
202205,1,354980505000028P,4477
202205,2,354980505000029P,4465
202205,1,354980505000029P,4515
202205,2,354980505000029P,4542
202205,1,354980505000030P,4442
202205,1,354980505000031P,5084
202205,1,354980505000032P,4063
202205,1,354980505000032P,5091
202205,2,354980505000033P,5095
202205,2,354980505000034P,3999
202205,1,354980505000034P,4121
202205,2,354980505000034P,4131
202205,1,354980505000034P,4132
202205,1,354980505000036P,4098
202205,1,354980505000036P,4114
202205,2,354980505000040P,5213
202205,1,354980505000040P,5222
202205,1,354980505000041P,5358
202205,1,354980505000043P,4656
202205,1,354980505000043P,4659
202205,3,354980505000045P,4574
202205,1,354980505000045P,4620
202205,1,354980505000046P,4487
202205,1,354980505000046P,4529
202205,8,354980505000047P,4512
202205,1,354980505000047P,4518
202205,2,354980505000048P,4690
202205,1,354980505000049P,4461
202205,6,354980505000051P,4998
202205,1,354980505000051P,5028
202205,2,354980505000052P,4999
202205,1,354980505000052P,5032
202205,1,354980505000052P,5041
202205,1,354980505000054P,3968
202205,1,354980505000055P,3984
202205,1,354980505000055P,3985
202205,2,354980505000056P,3641
202205,1,354980505000056P,4038
202205,1,354980505000056P,4086
202205,1,354980505000058P,3606
202205,1,354980505000058P,3614
202205,2,354980505000058P,3648
202205,1,354980505000059P,3602
202205,1,354980505000059P,3640
202205,1,354980505000061P,3040
202205,1,354980505000061P,3058
202205,1,354980505000061P,3065
202205,1,354980505000061P,3624
202205,2,354980505000062P,5262
202205,1,354980505000062P,5288
202205,1,354980505000062P,5325
202205,1,354980505000065P,5254
202205,2,354980505000065P,5256
202205,1,354980505000066P,5194
202205,2,354980505000066P,5224
202205,1,354980505000066P,5377
202205,1,354980505000066P,5421
202205,1,354980505000067P,5223
202205,2,354980505000067P,5390
202205,1,354980505000068P,5272
202205,2,354980505000068P,5380
202205,2,354980505000068P,5382
202205,1,354980505000068P,5395
202205,1,354980505000068P,5407
202205,3,354980505000068P,5415
202205,2,354980505000071P,4603
202205,1,354980505000071P,4627
202205,2,354980505000071P,4649
202205,2,354980505000071P,4685
202205,1,354980505000072P,4576
202205,1,354980505000072P,4623
202205,1,354980505000072P,4634
202205,4,354980505000073P,4480
202205,1,354980505000075P,5007
202205,1,354980505000075P,5048
202205,1,354980505000075P,5066
202205,1,354980505000075P,5073
202205,1,354980505000076P,4996
202205,2,354980505000076P,5019
202205,2,354980505000076P,5115
202205,1,354980505000079P,3946
202205,2,354980505000079P,3947
202205,1,354980505000079P,3962
202205,1,354980505000079P,4037
202205,1,354980505000079P,4120
202205,1,354980505000080P,4097
202205,2,354980505000081P,3097
202205,1,354980505000081P,3600
202205,5,354980505000081P,3609
202205,3,354980505000081P,3632
202205,1,354980505000082P,3083
202205,2,354980505000082P,3610
202205,1,354980505000084P,3037
202205,4,354980505000084P,3093
202205,1,354980505000085P,3107
202205,1,354980505000087P,3033
202205,1,354980505000087P,4298
202205,1,354980505000089P,5230
202205,1,354980505000089P,5250
202205,2,354980505000089P,5265
202205,2,354980505000089P,5336
202205,1,354980505000090P,5247
202205,1,354980505000090P,5311
202205,1,354980505000090P,5316
202205,3,354980505000090P,5317
202205,2,354980505000094P,4979
202205,2,354980505000094P,4985
202205,4,354980505000094P,5003
202205,1,354980505000094P,5004
202205,2,354980505000094P,5025
202205,1,354980505000095P,4971
202205,2,354980505000095P,4978
202205,1,354980505000095P,5009
202205,2,354980505000095P,5011
202205,1,354980505000095P,5014
202205,1,354980505000095P,5436
202205,1,354980505000095P,5438
202205,1,354980505000096P,4966
202205,1,354980505000096P,4976
202205,1,354980505000096P,5030
202205,1,354980505000096P,5037
202205,1,354980505000102P,4159
202205,2,354980505000102P,4161
202205,1,354980505000102P,4169
202205,1,354980505000105P,3115
202205,2,354980505000105P,3598
202205,1,354980505000105P,3630
202205,1,354980505000105P,3649
202205,1,354980505000105P,3654
202205,1,354980505000106P,3599
202205,1,354980505000106P,3603
202205,1,354980505000107P,3070
202205,1,354980505000108P,3079
202205,1,354980505000108P,3089
202205,2,354980505000108P,3102
202205,1,354980505000109P,3048
202205,1,354980505000109P,3057
202205,2,354980505000110P,3021
202205,1,354980505000110P,3063
202205,1,354980505000111P,3061
202205,1,354980505000111P,3078
202205,1,354980505000111P,3113
202205,1,354980505000114P,4307
202205,1,354980505000114P,4315
202205,1,354980505000114P,4323
202205,1,354980505000115P,4330
202205,1,354980505000116P,4305
202205,2,354980505000116P,4309
202205,1,354980505000116P,4361
202205,3,354980505000118P,4345
202205,1,354980505000118P,4347
202205,1,354980505000118P,4354
202205,1,354980505000118P,4356
202205,2,354980505000118P,4358
202205,2,354980505000118P,4383
202205,2,354980505000119P,4310
202205,1,354980505000119P,4335
202205,1,354980505000119P,4336
202205,1,354980505000119P,4349
202205,1,354980505000119P,4350
202205,1,354980505000119P,4351
202205,3,354980505000119P,4353
202205,2,354980505000122P,6124
202205,1,354980505000122P,6135
202205,1,354980505000122P,6136
202205,6,354980505000123P,6094
202205,2,354980505000123P,6123
202205,2,354980505000124P,6096
202205,1,354980505000124P,6097
202205,1,354980505000124P,6100
202205,5,354980505000124P,6101
202205,1,354980505000124P,6102
202205,1,354980505000124P,6144
202205,1,354980505000127P,4401
202205,2,354980505000127P,7462
202205,1,354980505000128P,5460
202205,1,354980505000128P,5468
202205,1,354980505000130P,4391
202205,1,354980505000130P,5459
202205,1,354980505000132P,4396
202205,1,354980505000132P,4399
202205,1,354980505000132P,4400
202205,1,354980505000134P,5572
202205,2,354980505000134P,5674
202205,1,354980505000134P,5712
202205,5,354980505000134P,5721
202205,1,354980505000135P,5720
202205,1,354980505000138P,5577
202205,3,354980505000138P,5624
202205,2,354980505000138P,5659
202205,1,354980505000138P,5684
202205,1,354980505000139P,5558
202205,3,354980505000139P,5559
202205,5,354980505000139P,5560
202205,2,354980505000139P,5561
202205,2,354980505000139P,5713
202205,4,354980505000139P,6232
202205,1,354980505000139P,6235
202205,1,354980505000140P,5714
202205,2,354980505000140P,6223
202205,1,354980505000140P,6244
202205,1,354980505000140P,6262
202205,1,354980505000140P,6265
202205,1,354980505000142P,6229
202205,1,354980505000142P,6231
202205,1,354980505000145P,5567
202205,1,354980505000145P,5677
202205,4,354980505000145P,5734
202205,3,354980505000148P,5580
202205,1,354980505000148P,5746
202205,1,354980505000148P,5757
202205,1,354980505000148P,6087
202205,2,354980505000149P,5625
202205,1,354980505000149P,5638
202205,1,354980505000149P,5754
