mes_ano,notificacoes,censitario,quarteirao
202310,1,354980505000005P,4488
202310,1,354980505000009P,4516
202310,1,354980505000028P,4427
202310,1,354980505000032P,5089
202310,1,354980505000040P,5362
202310,1,354980505000041P,5384
202310,1,354980505000041P,5385
202310,1,354980505000043P,4656
202310,1,354980505000043P,4686
202310,1,354980505000055P,3984
202310,1,354980505000057P,3601
202310,1,354980505000062P,5262
202310,1,354980505000065P,5256
202310,1,354980505000066P,5224
202310,1,354980505000067P,5364
202310,1,354980505000072P,4653
202310,1,354980505000073P,4480
202310,1,354980505000075P,5078
202310,1,354980505000084P,3037
202310,1,354980505000089P,5230
202310,1,354980505000089P,5250
202310,1,354980505000094P,4973
202310,1,354980505000094P,5004
202310,1,354980505000095P,5046
202310,1,354980505000096P,4952
202310,1,354980505000102P,4168
202310,1,354980505000105P,3650
202310,2,354980505000105P,3654
202310,1,354980505000108P,3053
202310,1,354980505000110P,3063
202310,1,354980505000114P,4311
202310,1,354980505000122P,6124
202310,1,354980505000127P,7462
202310,1,354980505000132P,4400
202310,2,354980505000138P,5626
202310,1,354980505000140P,6265
202310,1,354980505000145P,5734
202310,1,354980505000148P,5758
202310,1,354980505000159P,6227
202310,1,354980505000178P,6212
202310,1,354980505000187P,10407
202310,1,354980505000191P,7112
202310,1,354980505000193P,6495
202310,1,354980505000201P,5766
202310,1,354980505000201P,5800
202310,1,354980505000207P,1193
202310,1,354980505000207P,1278
202310,1,354980505000210P,1260
202310,1,354980505000211P,2648
202310,1,354980505000212P,1220
202310,1,354980505000213P,1168
202310,1,354980505000213P,1291
202310,1,354980505000215P,1217
202310,1,354980505000216P,1223
202310,1,354980505000222P,4548
202310,1,354980505000225P,1284
202310,1,354980505000225P,1286
202310,1,354980505000232P,2230
202310,1,354980505000232P,2356
202310,1,354980505000238P,2686
202310,1,354980505000241P,1967
202310,1,354980505000252P,3408
202310,1,354980505000256P,1973
202310,1,354980505000258P,2127
202310,1,354980505000263P,1644
202310,1,354980505000274P,3357
202310,1,354980505000276P,3302
202310,1,354980505000283P,2106
202310,1,354980505000284P,1692
202310,1,354980505000296P,3700
202310,1,354980505000299P,3444
202310,2,354980505000299P,3752
202310,1,354980505000299P,3754
202310,1,354980505000300P,3448
202310,1,354980505000300P,3457
202310,1,354980505000301P,3369
202310,1,354980505000306P,2076
202310,1,354980505000307P,2060
202310,1,354980505000312P,2112
202310,1,354980505000313P,2036
202310,1,354980505000314P,1984
202310,1,354980505000330P,847
202310,1,354980505000330P,2378
202310,1,354980505000336P,2977
202310,1,354980505000341P,1060
202310,1,354980505000344P,2390
202310,1,354980505000351P,2938
202310,1,354980505000352P,3547
202310,1,354980505000359P,2424
202310,1,354980505000359P,2435
202310,1,354980505000359P,2457
202310,1,354980505000360P,2422
202310,1,354980505000363P,1443
202310,1,354980505000363P,1538
202310,1,354980505000364P,1582
202310,1,354980505000366P,1523
202310,1,354980505000368P,1521
202310,1,354980505000369P,1584
202310,1,354980505000375P,10301
202310,1,354980505000381P,3558
202310,1,354980505000384P,3584
202310,1,354980505000385P,3917
202310,1,354980505000386P,3890
202310,1,354980505000390P,3492
202310,2,354980505000400P,1414
202310,1,354980505000408P,3825
202310,1,354980505000408P,3833
202310,1,354980505000426P,5609
202310,1,354980505000429P,5910
202310,1,354980505000432P,6185
202310,1,354980505000432P,6190
202310,1,354980505000432P,6192
202310,1,354980505000434P,6304
202310,1,354980505000437P,6514
202310,1,354980505000437P,6516
202310,2,354980505000460P,1843
202310,1,354980505000465P,1507
202310,1,354980505000466P,2819
202310,1,354980505000467P,2789
202310,1,354980505000472P,1023
202310,1,354980505000476P,15
202310,1,354980505000520P,4695
202310,1,354980505000521P,4533
202310,1,354980505000523P,3514
202310,1,354980505000527P,2839
202310,1,354980505000532P,2205
202310,1,354980505000535P,797
202310,1,354980505000537P,472
202310,1,354980505000537P,478
202310,1,354980505000538P,7553
202310,1,354980505000545P,7477
202310,1,354980505000574P,7554
202310,1,354980505000586P,4017
202310,1,354980505000592P,5366
202310,1,354980505000601P,5320
202310,1,354980505000602P,4693
202310,2,354980505000605P,10260
202310,1,354980505000607P,3976
202310,1,354980505000608P,3025
