mes_ano,notificacoes,censitario,quarteirao
202207,1,354980505000003P,4471
202207,1,354980505000013P,4552
202207,1,354980505000016P,3994
202207,2,354980505000020P,4676
202207,1,354980505000024P,4474
202207,1,354980505000026P,4505
202207,1,354980505000030P,4531
202207,1,354980505000031P,5093
202207,1,354980505000032P,4015
202207,1,354980505000033P,3983
202207,1,354980505000034P,4067
202207,1,354980505000034P,4111
202207,2,354980505000040P,5362
202207,1,354980505000041P,5373
202207,1,354980505000043P,4675
202207,1,354980505000048P,4475
202207,1,354980505000048P,4690
202207,1,354980505000052P,5041
202207,1,354980505000054P,4070
202207,2,354980505000055P,3984
202207,1,354980505000056P,3641
202207,1,354980505000057P,3601
202207,1,354980505000059P,3082
202207,1,354980505000059P,3756
202207,1,354980505000061P,3626
202207,2,354980505000065P,5254
202207,1,354980505000065P,5257
202207,1,354980505000066P,5224
202207,1,354980505000066P,5370
202207,2,354980505000067P,5364
202207,1,354980505000068P,5411
202207,1,354980505000075P,5031
202207,1,354980505000075P,5049
202207,1,354980505000076P,4957
202207,1,354980505000079P,3946
202207,1,354980505000080P,4123
202207,1,354980505000082P,3068
202207,1,354980505000083P,3051
202207,2,354980505000084P,3091
202207,1,354980505000085P,3104
202207,1,354980505000087P,3033
202207,1,354980505000087P,3064
202207,1,354980505000087P,3106
202207,1,354980505000089P,5250
202207,1,354980505000089P,5336
202207,2,354980505000090P,5229
202207,1,354980505000094P,4979
202207,1,354980505000095P,5011
202207,1,354980505000096P,4966
202207,1,354980505000096P,4986
202207,1,354980505000096P,5054
202207,1,354980505000102P,4161
202207,1,354980505000105P,3644
202207,1,354980505000106P,3047
202207,1,354980505000106P,3603
202207,1,354980505000107P,3070
202207,1,354980505000107P,3098
202207,1,354980505000109P,3048
202207,1,354980505000110P,3021
202207,1,354980505000111P,3024
202207,1,354980505000114P,4316
202207,1,354980505000114P,4323
202207,1,354980505000116P,4379
202207,1,354980505000118P,4345
202207,1,354980505000118P,4383
202207,2,354980505000119P,4310
202207,1,354980505000124P,6096
202207,1,354980505000124P,6098
202207,2,354980505000124P,6101
202207,1,354980505000124P,6102
202207,1,354980505000127P,5447
202207,1,354980505000130P,5444
202207,2,354980505000132P,4400
202207,1,354980505000134P,5572
202207,1,354980505000134P,5721
202207,1,354980505000135P,5720
202207,2,354980505000138P,5557
202207,1,354980505000138P,5624
202207,1,354980505000139P,6232
202207,1,354980505000139P,6233
202207,1,354980505000140P,6265
202207,1,354980505000142P,5719
202207,1,354980505000142P,6231
202207,1,354980505000149P,5599
202207,1,354980505000152P,6254
