mes_ano,notificacoes,censitario,quarteirao
202208,1,354980505000001P,4405
202208,1,354980505000003P,3792
202208,1,354980505000012P,4482
202208,1,354980505000020P,4676
202208,1,354980505000029P,4530
202208,2,354980505000029P,4542
202208,1,354980505000031P,5097
202208,1,354980505000032P,4015
202208,1,354980505000051P,4998
202208,1,354980505000052P,4989
202208,1,354980505000052P,5072
202208,2,354980505000054P,3937
202208,1,354980505000062P,5261
202208,1,354980505000066P,5224
202208,1,354980505000073P,4480
202208,1,354980505000073P,4689
202208,1,354980505000081P,3600
202208,1,354980505000085P,3104
202208,1,354980505000090P,5231
202208,1,354980505000090P,5311
202208,1,354980505000105P,3115
202208,1,354980505000109P,3060
202208,1,354980505000115P,4312
202208,1,354980505000118P,4345
202208,1,354980505000118P,4383
202208,1,354980505000119P,4310
202208,1,354980505000127P,7462
202208,1,354980505000139P,5559
202208,1,354980505000139P,5560
202208,1,354980505000139P,5561
202208,1,354980505000140P,6221
202208,1,354980505000145P,5734
202208,1,354980505000151P,5640
202208,1,354980505000151P,5762
202208,1,354980505000152P,5764
202208,1,354980505000152P,6270
202208,1,354980505000157P,6253
202208,1,354980505000159P,6227
202208,1,354980505000171P,5865
202208,1,354980505000171P,5877
202208,1,354980505000174P,6164
202208,1,354980505000175P,6175
202208,1,354980505000175P,6178
202208,1,354980505000178P,6157
202208,1,354980505000180P,6326
202208,1,354980505000193P,6498
202208,1,354980505000204P,5797
202208,1,354980505000208P,1192
202208,2,354980505000209P,1159
202208,1,354980505000212P,2578
202208,1,354980505000214P,1204
202208,1,354980505000215P,1212
202208,1,354980505000215P,1267
202208,1,354980505000218P,1274
202208,1,354980505000224P,1166
202208,1,354980505000224P,2633
202208,1,354980505000232P,2356
202208,1,354980505000235P,2660
202208,1,354980505000237P,2611
202208,1,354980505000237P,2612
202208,1,354980505000238P,2686
202208,1,354980505000239P,2574
202208,1,354980505000242P,1963
202208,2,354980505000247P,2318
202208,1,354980505000252P,3391
202208,1,354980505000252P,3406
202208,1,354980505000252P,3408
202208,1,354980505000256P,1972
202208,1,354980505000256P,2095
202208,1,354980505000258P,1991
202208,1,354980505000258P,1993
202208,1,354980505000258P,2011
202208,2,354980505000261P,1934
202208,1,354980505000261P,1940
202208,1,354980505000277P,2218
202208,1,354980505000278P,2143
202208,1,354980505000279P,2089
202208,1,354980505000280P,2034
202208,3,354980505000283P,2107
202208,1,354980505000283P,2120
202208,1,354980505000284P,1692
202208,2,354980505000285P,1633
202208,1,354980505000285P,1636
202208,1,354980505000286P,1744
202208,2,354980505000290P,1001
202208,1,354980505000290P,1005
202208,1,354980505000296P,3686
202208,1,354980505000300P,3429
202208,1,354980505000302P,3464
202208,1,354980505000310P,1976
202208,1,354980505000312P,2112
202208,1,354980505000314P,2004
202208,1,354980505000317P,767
202208,1,354980505000328P,955
202208,1,354980505000329P,962
202208,1,354980505000333P,1329
202208,1,354980505000334P,1312
202208,1,354980505000336P,2961
202208,1,354980505000337P,2440
202208,1,354980505000339P,2467
202208,1,354980505000339P,2474
202208,1,354980505000340P,2456
202208,1,354980505000341P,1060
202208,1,354980505000344P,1359
202208,1,354980505000347P,1345
202208,1,354980505000347P,1373
202208,1,354980505000348P,1344
202208,2,354980505000351P,2933
202208,1,354980505000352P,2932
202208,1,354980505000352P,3575
202208,1,354980505000353P,2952
202208,1,354980505000355P,2466
202208,1,354980505000355P,2523
202208,1,354980505000358P,2508
202208,1,354980505000359P,2517
202208,1,354980505000364P,1582
202208,1,354980505000365P,1533
202208,1,354980505000366P,1518
202208,1,354980505000369P,1596
202208,1,354980505000372P,1603
202208,1,354980505000372P,9242
202208,1,354980505000376P,3155
202208,1,354980505000376P,3178
202208,1,354980505000378P,3164
202208,1,354980505000381P,2943
202208,1,354980505000383P,3585
202208,1,354980505000390P,3490
202208,1,354980505000392P,2443
202208,1,354980505000398P,1585
202208,1,354980505000399P,1510
202208,1,354980505000409P,3787
202208,1,354980505000422P,2003
