mes_ano,notificacoes,censitario,quarteirao
202312,1,354980505000019P,5479
202312,1,354980505000022P,4481
202312,1,354980505000024P,4474
202312,2,354980505000026P,4540
202312,1,354980505000027P,4425
202312,1,354980505000027P,4464
202312,1,354980505000028P,4427
202312,1,354980505000029P,4465
202312,1,354980505000029P,4542
202312,1,354980505000033P,4021
202312,1,354980505000043P,4673
202312,1,354980505000047P,4512
202312,1,354980505000048P,4690
202312,1,354980505000049P,4433
202312,1,354980505000051P,4998
202312,1,354980505000051P,5028
202312,1,354980505000054P,4070
202312,1,354980505000058P,3606
202312,1,354980505000058P,3648
202312,1,354980505000059P,3640
202312,1,354980505000061P,3058
202312,1,354980505000062P,5324
202312,1,354980505000065P,5242
202312,1,354980505000065P,5254
202312,1,354980505000065P,5255
202312,1,354980505000066P,5194
202312,1,354980505000066P,5224
202312,1,354980505000066P,5377
202312,1,354980505000067P,5364
202312,1,354980505000068P,5395
202312,1,354980505000068P,5429
202312,1,354980505000072P,4623
202312,1,354980505000076P,5061
202312,1,354980505000079P,3946
202312,1,354980505000081P,3609
202312,1,354980505000084P,3093
202312,1,354980505000085P,3038
202312,1,354980505000090P,5244
202312,1,354980505000095P,5014
202312,1,354980505000105P,3115
202312,1,354980505000105P,3618
202312,1,354980505000106P,3026
202312,1,354980505000107P,3059
202312,1,354980505000108P,3102
202312,2,354980505000110P,3021
202312,1,354980505000114P,4306
202312,1,354980505000115P,4312
202312,1,354980505000118P,4357
202312,1,354980505000119P,4310
202312,1,354980505000119P,4337
202312,1,354980505000119P,4353
202312,1,354980505000123P,6123
202312,1,354980505000138P,5683
202312,1,354980505000139P,6233
202312,1,354980505000140P,6223
202312,1,354980505000140P,6244
202312,1,354980505000142P,6239
202312,1,354980505000151P,6268
202312,1,354980505000157P,6237
202312,1,354980505000158P,6224
202312,2,354980505000169P,5848
202312,1,354980505000171P,5865
202312,1,354980505000171P,5871
202312,1,354980505000174P,6172
202312,1,354980505000179P,6383
202312,1,354980505000184P,6370
202312,1,354980505000197P,6030
202312,1,354980505000201P,5813
202312,1,354980505000212P,1220
202312,1,354980505000221P,2600
202312,1,354980505000221P,2709
202312,1,354980505000222P,4548
202312,1,354980505000225P,1286
202312,1,354980505000226P,1298
202312,1,354980505000227P,2268
202312,1,354980505000235P,2696
202312,1,354980505000247P,2314
202312,1,354980505000248P,2363
202312,1,354980505000252P,3406
202312,1,354980505000258P,1991
202312,1,354980505000274P,3402
202312,4,354980505000277P,2218
202312,1,354980505000281P,2087
202312,1,354980505000282P,2045
202312,1,354980505000284P,1711
202312,1,354980505000285P,1634
202312,1,354980505000290P,1004
202312,1,354980505000296P,3702
202312,1,354980505000304P,2732
202312,1,354980505000315P,1700
202312,1,354980505000317P,767
202312,1,354980505000317P,1688
202312,1,354980505000328P,957
202312,1,354980505000329P,958
202312,1,354980505000329P,962
202312,1,354980505000330P,835
202312,1,354980505000330P,2378
202312,1,354980505000334P,1312
202312,1,354980505000334P,1330
202312,1,354980505000341P,1076
202312,1,354980505000348P,1309
202312,1,354980505000348P,1343
