mes_ano,notificacoes,censitario,quarteirao
202311,1,354980505000012P,4482
202311,1,354980505000013P,4424
202311,1,354980505000020P,4676
202311,1,354980505000027P,4425
202311,1,354980505000031P,5093
202311,1,354980505000040P,5362
202311,1,354980505000043P,4651
202311,1,354980505000047P,4512
202311,1,354980505000055P,3985
202311,1,354980505000059P,3607
202311,1,354980505000062P,5261
202311,1,354980505000068P,5429
202311,1,354980505000070P,4625
202311,1,354980505000070P,4640
202311,1,354980505000072P,4576
202311,1,354980505000072P,4628
202311,1,354980505000080P,4058
202311,1,354980505000082P,3068
202311,1,354980505000083P,3069
202311,1,354980505000087P,3064
202311,1,354980505000094P,5068
202311,1,354980505000096P,5030
202311,1,354980505000102P,4169
202311,1,354980505000111P,3078
202311,1,354980505000115P,4312
202311,1,354980505000115P,4330
202311,1,354980505000116P,4376
202311,1,354980505000123P,6094
202311,1,354980505000127P,5447
202311,1,354980505000130P,5459
202311,1,354980505000132P,4397
202311,2,354980505000138P,5683
202311,1,354980505000139P,6232
202311,1,354980505000145P,5677
202311,1,354980505000157P,6253
202311,1,354980505000166P,5686
202311,1,354980505000171P,5867
202311,1,354980505000175P,6182
202311,1,354980505000178P,6212
202311,1,354980505000179P,6388
202311,1,354980505000180P,6319
202311,1,354980505000208P,1196
202311,1,354980505000211P,2645
202311,1,354980505000212P,2583
202311,1,354980505000213P,1168
202311,1,354980505000215P,1186
202311,1,354980505000217P,1285
202311,1,354980505000218P,2577
202311,1,354980505000222P,4548
202311,1,354980505000227P,2268
202311,1,354980505000227P,2273
202311,1,354980505000230P,2347
202311,1,354980505000233P,2248
202311,1,354980505000238P,2550
202311,1,354980505000239P,2649
202311,2,354980505000241P,1971
202311,1,354980505000242P,1963
202311,1,354980505000243P,1946
202311,1,354980505000252P,3391
202311,1,354980505000258P,1991
202311,1,354980505000258P,2127
202311,1,354980505000263P,1625
202311,1,354980505000278P,2142
202311,1,354980505000279P,2033
202311,2,354980505000281P,2048
202311,1,354980505000284P,1686
202311,1,354980505000296P,3686
202311,1,354980505000296P,3700
202311,1,354980505000299P,3446
202311,1,354980505000304P,2733
202311,1,354980505000308P,2065
202311,1,354980505000310P,1976
202311,1,354980505000312P,2037
202311,1,354980505000314P,1984
202311,1,354980505000315P,1712
202311,1,354980505000317P,1689
202311,1,354980505000328P,955
202311,1,354980505000333P,1315
202311,1,354980505000333P,1349
202311,1,354980505000334P,1339
202311,1,354980505000334P,1366
202311,1,354980505000338P,2419
202311,1,354980505000338P,2450
202311,1,354980505000341P,1058
202311,1,354980505000347P,1311
202311,1,354980505000347P,1322
202311,1,354980505000349P,1620
202311,1,354980505000351P,2933
202311,1,354980505000353P,3012
202311,1,354980505000354P,2962
202311,1,354980505000354P,3559
202311,1,354980505000360P,2500
202311,1,354980505000365P,1494
202311,1,354980505000366P,1532
202311,2,354980505000373P,7303
202311,1,354980505000375P,3210
202311,1,354980505000376P,3178
