mes_ano,notificacoes,censitario,quarteirao
202204,2,354980505000001P,4456
202204,1,354980505000001P,4524
202204,2,354980505000001P,4532
202204,1,354980505000001P,4555
202204,1,354980505000003P,3768
202204,2,354980505000003P,3774
202204,2,354980505000004P,3791
202204,3,354980505000004P,4448
202204,1,354980505000005P,4437
202204,1,354980505000005P,4488
202204,3,354980505000006P,4567
202204,3,354980505000009P,4525
202204,1,354980505000010P,4438
202204,1,354980505000010P,4521
202204,1,354980505000010P,4568
202204,3,354980505000012P,4482
202204,3,354980505000013P,4424
202204,3,354980505000013P,4492
202204,2,354980505000016P,4004
202204,2,354980505000016P,4084
202204,1,354980505000016P,4096
202204,2,354980505000019P,4595
202204,1,354980505000019P,4671
202204,1,354980505000020P,4631
202204,5,354980505000020P,4676
202204,1,354980505000022P,4407
202204,1,354980505000022P,4417
202204,4,354980505000022P,4481
202204,1,354980505000023P,4526
202204,2,354980505000024P,4474
202204,1,354980505000027P,4425
202204,2,354980505000027P,4464
202204,2,354980505000028P,4427
202204,1,354980505000028P,4477
202204,1,354980505000028P,4510
202204,2,354980505000029P,4465
202204,8,354980505000029P,4542
202204,1,354980505000030P,4442
202204,1,354980505000030P,4559
202204,1,354980505000031P,5084
202204,1,354980505000031P,5093
202204,2,354980505000032P,3991
202204,1,354980505000032P,4063
202204,1,354980505000033P,3980
202204,1,354980505000033P,3987
202204,1,354980505000033P,3998
202204,1,354980505000033P,4001
202204,1,354980505000033P,4074
202204,2,354980505000033P,5095
202204,1,354980505000034P,4106
202204,2,354980505000034P,4132
202204,1,354980505000036P,4078
202204,1,354980505000036P,4127
202204,1,354980505000040P,5209
202204,1,354980505000040P,5211
202204,1,354980505000040P,5213
202204,1,354980505000040P,5359
202204,6,354980505000040P,5362
202204,1,354980505000041P,5373
202204,4,354980505000041P,5388
202204,1,354980505000041P,5398
202204,1,354980505000041P,5420
202204,2,354980505000041P,5426
202204,1,354980505000043P,4616
202204,1,354980505000043P,4654
202204,1,354980505000043P,4675
202204,2,354980505000045P,4580
202204,1,354980505000045P,4590
202204,1,354980505000045P,4599
202204,3,354980505000045P,4620
202204,2,354980505000046P,4403
202204,1,354980505000046P,4416
202204,2,354980505000047P,4512
202204,2,354980505000049P,4433
202204,1,354980505000049P,4434
202204,2,354980505000049P,4520
202204,2,354980505000051P,4998
202204,1,354980505000052P,4982
