mes_ano,notificacoes,censitario,quarteirao
202209,1,354980505000004P,4448
202209,2,354980505000006P,4567
202209,1,354980505000020P,4676
202209,1,354980505000023P,4501
202209,1,354980505000026P,4505
202209,1,354980505000032P,4048
202209,1,354980505000033P,4021
202209,1,354980505000036P,4114
202209,1,354980505000040P,5362
202209,1,354980505000041P,5419
202209,1,354980505000045P,4581
202209,1,354980505000047P,4512
202209,1,354980505000061P,3055
202209,1,354980505000066P,5377
202209,1,354980505000070P,4604
202209,1,354980505000071P,4603
202209,1,354980505000073P,4480
202209,1,354980505000075P,5048
202209,1,354980505000075P,5075
202209,1,354980505000079P,4037
202209,1,354980505000081P,3600
202209,1,354980505000081P,3632
202209,1,354980505000089P,5248
202209,1,354980505000089P,5264
202209,1,354980505000090P,5315
202209,1,354980505000095P,4963
202209,1,354980505000095P,4978
202209,1,354980505000105P,3630
202209,1,354980505000106P,3599
202209,2,354980505000109P,3030
202209,1,354980505000113P,4331
202209,1,354980505000114P,4315
202209,1,354980505000115P,4330
202209,1,354980505000116P,4309
202209,1,354980505000118P,4383
202209,1,354980505000119P,4349
202209,1,354980505000123P,6094
202209,1,354980505000124P,6101
202209,1,354980505000128P,5468
202209,1,354980505000132P,4396
202209,1,354980505000139P,6232
202209,1,354980505000145P,5734
202209,1,354980505000149P,5556
202209,1,354980505000151P,5763
202209,1,354980505000151P,6268
202209,1,354980505000152P,6267
202209,1,354980505000157P,6237
202209,2,354980505000159P,5581
202209,1,354980505000159P,6252
202209,1,354980505000169P,5848
202209,1,354980505000175P,6179
202209,1,354980505000179P,6384
202209,1,354980505000180P,6296
202209,1,354980505000193P,6492
202209,1,354980505000193P,6494
202209,1,354980505000201P,5813
202209,1,354980505000207P,2575
202209,1,354980505000208P,1192
202209,1,354980505000210P,1233
202209,1,354980505000211P,1221
202209,1,354980505000211P,1261
202209,1,354980505000213P,1168
202209,1,354980505000215P,1186
202209,1,354980505000215P,1203
202209,1,354980505000215P,2382
202209,1,354980505000218P,1189
202209,2,354980505000222P,4548
202209,1,354980505000224P,1208
202209,1,354980505000224P,1209
