mes_ano,notificacoes,censitario,quarteirao
202307,1,354980505000004P,4557
202307,1,354980505000023P,4501
202307,1,354980505000028P,4427
202307,1,354980505000043P,4659
202307,1,354980505000058P,3614
202307,1,354980505000061P,3058
202307,1,354980505000067P,5364
202307,1,354980505000071P,4685
202307,1,354980505000075P,5053
202307,1,354980505000080P,3631
202307,1,354980505000081P,3600
202307,1,354980505000083P,3051
202307,1,354980505000084P,3091
202307,1,354980505000084P,3093
202307,1,354980505000087P,3020
202307,1,354980505000089P,5265
202307,2,354980505000095P,5436
202307,1,354980505000105P,3115
202307,1,354980505000107P,3042
202307,1,354980505000109P,3018
202307,1,354980505000110P,3108
202307,1,354980505000114P,4323
202307,1,354980505000115P,4318
202307,1,354980505000115P,4320
202307,2,354980505000128P,5468
202307,1,354980505000130P,4391
202307,1,354980505000132P,4400
202307,1,354980505000135P,5611
202307,1,354980505000135P,5720
202307,1,354980505000138P,5626
202307,1,354980505000139P,5558
202307,1,354980505000145P,5734
202307,1,354980505000149P,5625
202307,1,354980505000151P,5640
202307,1,354980505000152P,6267
202307,1,354980505000174P,6170
202307,1,354980505000175P,6178
202307,1,354980505000179P,6385
202307,1,354980505000179P,6388
202307,1,354980505000180P,6296
202307,1,354980505000180P,6319
202307,2,354980505000184P,6313
202307,1,354980505000184P,6354
202307,1,354980505000187P,10407
202307,1,354980505000193P,6495
202307,1,354980505000193P,6496
202307,1,354980505000201P,5716
202307,1,354980505000221P,2571
202307,1,354980505000221P,2709
202307,2,354980505000222P,4548
202307,1,354980505000225P,1286
202307,1,354980505000226P,1296
202307,1,354980505000226P,1298
202307,1,354980505000227P,2326
202307,1,354980505000248P,2322
202307,1,354980505000256P,1973
202307,1,354980505000256P,2095
202307,1,354980505000262P,1661
202307,1,354980505000267P,2305
202307,1,354980505000276P,3302
202307,1,354980505000281P,2087
202307,1,354980505000282P,2051
202307,1,354980505000290P,1006
202307,1,354980505000296P,3349
202307,1,354980505000296P,3350
202307,1,354980505000299P,3446
202307,1,354980505000299P,3752
202307,1,354980505000299P,3755
202307,1,354980505000300P,3319
202307,1,354980505000300P,4295
202307,1,354980505000301P,3366
202307,1,354980505000308P,1951
202307,1,354980505000309P,1952
202307,1,354980505000309P,2086
202307,1,354980505000314P,1985
202307,1,354980505000315P,1691
202307,1,354980505000317P,1683
202307,1,354980505000328P,934
202307,1,354980505000329P,962
202307,1,354980505000333P,1329
202307,1,354980505000334P,1312
202307,1,354980505000340P,2485
202307,1,354980505000341P,1060
202307,1,354980505000347P,1334
202307,1,354980505000348P,1343
202307,1,354980505000349P,1618
202307,1,354980505000351P,2933
202307,1,354980505000351P,3001
202307,2,354980505000360P,1072
202307,1,354980505000363P,1445
202307,1,354980505000363P,1538
202307,1,354980505000364P,1403
202307,1,354980505000364P,1536
202307,2,354980505000364P,1582
202307,1,354980505000369P,1584
202307,1,354980505000369P,1596
202307,1,354980505000372P,1603
202307,2,354980505000375P,3204
202307,1,354980505000376P,3178
202307,1,354980505000376P,3219
202307,1,354980505000376P,8628
202307,1,354980505000378P,3163
202307,1,354980505000379P,3158
202307,1,354980505000381P,3567
202307,1,354980505000384P,3548
202307,1,354980505000384P,3584
202307,1,354980505000385P,3887
202307,1,354980505000388P,3924
202307,1,354980505000400P,1474
202307,1,354980505000413P,3843
202307,1,354980505000414P,3765
202307,1,354980505000424P,4171
202307,1,354980505000437P,6440
202307,1,354980505000443P,3382
202307,1,354980505000448P,2310
202307,1,354980505000449P,3710
202307,1,354980505000460P,1843
202307,1,354980505000466P,2819
202307,1,354980505000472P,1024
202307,1,354980505000475P,40
202307,1,354980505000475P,42
202307,1,354980505000476P,19
202307,1,354980505000506P,6122
202307,1,354980505000506P,6130
202307,1,354980505000507P,5733
202307,1,354980505000511P,9339
202307,1,354980505000515P,7108
202307,1,354980505000535P,775
202307,1,354980505000536P,783
202307,1,354980505000536P,791
202307,1,354980505000537P,474
202307,1,354980505000537P,9814
202307,1,354980505000538P,7553
202307,1,354980505000570P,7033
202307,1,354980505000583P,4013
202307,1,354980505000591P,4018
202307,2,354980505000601P,5321
202307,2,354980505000602P,4692
202307,1,354980505000606P,3943
202307,1,354980505000610P,5281
202307,1,354980505000612P,5302
202307,1,354980505000612P,5329
202307,1,354980505000613P,5394
202307,1,354980505000614P,3960
202307,1,354980505000618P,4698
202307,1,354980505000619P,4736
202307,1,354980505000626P,4128
202307,3,354980505000629P,1086
202307,1,354980505000636P,1420
202307,1,354980505000641P,1388
202307,1,354980505000641P,1589
202307,1,354980505000648P,3582
202307,1,354980505000653P,1488
202307,1,354980505000654P,1544
202307,1,354980505000655P,1574
202307,1,354980505000659P,9257
202307,1,354980505000663P,1491
202307,1,354980505000665P,1529
202307,1,354980505000667P,1450
202307,1,354980505000676P,3499
202307,1,354980505000682P,7371
202307,1,354980505000686P,5532
202307,1,354980505000689P,5469
202307,1,354980505000696P,5730
202307,1,354980505000698P,6238
202307,1,354980505000700P,5607
202307,1,354980505000709P,6297
202307,1,354980505000709P,6298
202307,1,354980505000711P,6320
202307,1,354980505000723P,5742
202307,1,354980505000725P,5652
202307,1,354980505000726P,5914
202307,1,354980505000731P,6088
202307,1,354980505000734P,6289
202307,1,354980505000734P,6373
202307,1,354980505000736P,6346
202307,1,354980505000749P,6450
202307,1,354980505000751P,6034
202307,1,354980505000755P,5941
202307,2,354980505000764P,5942
202307,1,354980505000765P,10264
