mes_ano,notificacoes,censitario,quarteirao
202305,1,354980505000001P,4419
202305,1,354980505000004P,4448
202305,1,354980505000004P,4494
202305,2,354980505000005P,4429
202305,1,354980505000006P,4549
202305,1,354980505000006P,4567
202305,1,354980505000009P,4516
202305,1,354980505000013P,4492
202305,1,354980505000013P,4552
202305,1,354980505000016P,4029
202305,1,354980505000019P,7322
202305,1,354980505000020P,4676
202305,2,354980505000026P,4505
202305,1,354980505000028P,4427
202305,1,354980505000028P,4510
202305,1,354980505000032P,4015
202305,1,354980505000033P,5095
202305,1,354980505000034P,4067
202305,1,354980505000034P,4132
202305,1,354980505000040P,5209
202305,1,354980505000040P,5362
202305,1,354980505000043P,4616
202305,1,354980505000045P,4624
202305,1,354980505000046P,4466
202305,1,354980505000049P,4433
202305,1,354980505000052P,4980
202305,3,354980505000052P,5055
202305,1,354980505000054P,3937
202305,2,354980505000055P,4077
202305,1,354980505000056P,4151
202305,1,354980505000057P,3601
202305,1,354980505000058P,3648
202305,1,354980505000059P,3625
202305,1,354980505000061P,3624
202305,1,354980505000061P,3626
202305,1,354980505000066P,5371
202305,1,354980505000067P,5223
202305,2,354980505000067P,5364
202305,1,354980505000068P,5407
202305,1,354980505000070P,4607
202305,1,354980505000071P,4603
202305,1,354980505000071P,4649
202305,1,354980505000071P,4650
202305,1,354980505000072P,4635
202305,3,354980505000073P,4480
202305,1,354980505000073P,4691
202305,1,354980505000075P,5048
202305,1,354980505000075P,5053
202305,1,354980505000081P,3097
202305,2,354980505000081P,3600
202305,2,354980505000081P,3632
202305,1,354980505000082P,3084
202305,1,354980505000083P,3014
202305,1,354980505000083P,3051
202305,1,354980505000085P,3038
202305,1,354980505000087P,3020
202305,1,354980505000087P,3073
202305,1,354980505000087P,3106
202305,1,354980505000089P,5248
202305,1,354980505000089P,5268
202305,1,354980505000089P,5309
202305,1,354980505000090P,5246
202305,2,354980505000090P,5291
202305,1,354980505000094P,4985
202305,1,354980505000095P,4978
202305,1,354980505000095P,5436
202305,1,354980505000096P,4976
202305,1,354980505000096P,4986
202305,1,354980505000102P,4158
202305,1,354980505000105P,3612
202305,1,354980505000106P,3099
202305,2,354980505000106P,3620
202305,1,354980505000107P,3070
202305,2,354980505000108P,3079
202305,1,354980505000109P,3018
202305,1,354980505000109P,3030
202305,1,354980505000110P,3022
202305,2,354980505000110P,3063
202305,1,354980505000113P,4331
202305,3,354980505000114P,4306
202305,1,354980505000114P,4315
202305,1,354980505000119P,4310
202305,1,354980505000119P,4336
202305,1,354980505000119P,4353
202305,1,354980505000123P,6143
202305,2,354980505000128P,5468
202305,1,354980505000129P,5448
202305,1,354980505000132P,4399
202305,1,354980505000132P,4400
202305,1,354980505000134P,5572
202305,1,354980505000134P,5630
202305,1,354980505000138P,5624
202305,1,354980505000139P,6233
202305,1,354980505000140P,6262
202305,1,354980505000140P,6263
202305,1,354980505000142P,6231
202305,1,354980505000148P,5580
202305,1,354980505000148P,5660
202305,1,354980505000148P,5758
202305,1,354980505000148P,6087
202305,2,354980505000149P,5625
202305,2,354980505000149P,5755
202305,1,354980505000151P,6268
202305,1,354980505000152P,5764
202305,1,354980505000152P,6236
202305,1,354980505000152P,6254
202305,1,354980505000157P,6237
202305,1,354980505000158P,5665
202305,2,354980505000158P,6224
202305,1,354980505000166P,5595
202305,1,354980505000171P,5871
202305,1,354980505000171P,5877
202305,1,354980505000174P,6164
202305,1,354980505000174P,6166
202305,1,354980505000174P,6171
202305,1,354980505000174P,6213
202305,1,354980505000175P,6176
202305,3,354980505000175P,6182
202305,1,354980505000175P,6183
202305,1,354980505000178P,6206
202305,1,354980505000179P,6385
202305,1,354980505000180P,6296
202305,1,354980505000180P,6319
202305,1,354980505000180P,6326
202305,1,354980505000182P,6305
202305,1,354980505000182P,6351
202305,1,354980505000184P,6313
202305,2,354980505000187P,10407
202305,1,354980505000191P,7106
202305,1,354980505000193P,6038
202305,1,354980505000193P,6497
202305,2,354980505000201P,5813
202305,2,354980505000204P,5797
202305,1,354980505000207P,1193
202305,1,354980505000207P,1249
202305,1,354980505000208P,1183
202305,1,354980505000208P,1196
202305,1,354980505000208P,1198
202305,1,354980505000209P,1159
202305,1,354980505000209P,1202
202305,1,354980505000210P,1260
202305,1,354980505000214P,1180
202305,1,354980505000215P,1153
202305,1,354980505000215P,2382
202305,1,354980505000216P,1256
202305,3,354980505000222P,4548
202305,1,354980505000224P,2694
202305,1,354980505000225P,1210
202305,1,354980505000225P,1230
202305,1,354980505000225P,1290
202305,2,354980505000226P,1296
202305,2,354980505000226P,1298
202305,2,354980505000227P,2268
202305,2,354980505000227P,2275
202305,1,354980505000228P,2274
202305,1,354980505000230P,2263
202305,1,354980505000230P,2358
202305,1,354980505000233P,2330
202305,1,354980505000234P,2639
202305,1,354980505000235P,2616
202305,1,354980505000235P,2696
202305,1,354980505000237P,2613
202305,1,354980505000239P,2705
202305,1,354980505000241P,1969
202305,4,354980505000242P,1963
202305,1,354980505000243P,1946
202305,1,354980505000243P,1947
202305,1,354980505000247P,2319
202305,1,354980505000248P,2220
202305,1,354980505000248P,2222
202305,1,354980505000248P,2223
202305,1,354980505000248P,2258
202305,1,354980505000252P,3407
202305,2,354980505000252P,3408
202305,1,354980505000252P,3409
202305,1,354980505000256P,2095
202305,1,354980505000258P,1943
202305,2,354980505000258P,1991
202305,2,354980505000258P,1992
202305,2,354980505000258P,2127
202305,1,354980505000261P,1935
202305,1,354980505000263P,1643
202305,1,354980505000266P,2312
202305,1,354980505000274P,3324
202305,1,354980505000274P,3357
202305,1,354980505000276P,2192
202305,2,354980505000277P,2218
202305,1,354980505000278P,2142
202305,1,354980505000278P,2143
202305,1,354980505000278P,2151
202305,1,354980505000279P,2032
202305,2,354980505000279P,2033
202305,1,354980505000280P,2019
202305,1,354980505000280P,2030
202305,2,354980505000280P,2034
202305,1,354980505000281P,2098
202305,1,354980505000282P,2050
202305,1,354980505000283P,2111
202305,1,354980505000284P,1679
202305,1,354980505000284P,1686
202305,1,354980505000284P,1692
202305,1,354980505000284P,1696
202305,1,354980505000285P,1634
202305,1,354980505000285P,1636
202305,1,354980505000286P,1668
202305,1,354980505000286P,1747
202305,1,354980505000290P,1005
202305,1,354980505000290P,1007
