mes_ano,notificacoes,censitario,quarteirao
202202,1,354980505000001P,4473
202202,2,354980505000003P,3774
202202,1,354980505000004P,4448
202202,1,354980505000004P,4494
202202,2,354980505000004P,4557
202202,3,354980505000012P,4482
202202,1,354980505000013P,4552
202202,1,354980505000016P,4096
202202,2,354980505000020P,4676
202202,1,354980505000023P,4460
202202,1,354980505000024P,4474
202202,1,354980505000026P,4505
202202,1,354980505000026P,4540
202202,1,354980505000027P,4425
202202,1,354980505000029P,4465
202202,1,354980505000029P,4542
202202,1,354980505000030P,4442
202202,2,354980505000031P,5084
202202,1,354980505000032P,4063
202202,1,354980505000034P,3999
202202,1,354980505000036P,4094
202202,1,354980505000036P,4098
202202,1,354980505000041P,5419
202202,1,354980505000043P,4608
202202,1,354980505000043P,4636
202202,1,354980505000045P,4580
202202,2,354980505000046P,4403
202202,1,354980505000046P,4499
202202,2,354980505000048P,4690
202202,1,354980505000049P,4433
202202,6,354980505000051P,4998
202202,1,354980505000052P,4950
202202,1,354980505000058P,3648
202202,2,354980505000061P,3044
202202,1,354980505000061P,3055
202202,1,354980505000061P,3065
202202,1,354980505000061P,3626
202202,1,354980505000062P,5262
202202,1,354980505000066P,5224
202202,1,354980505000066P,5421
202202,1,354980505000067P,5223
202202,1,354980505000072P,4576
202202,1,354980505000072P,4628
202202,4,354980505000073P,4480
202202,1,354980505000079P,3962
202202,1,354980505000079P,4037
202202,1,354980505000079P,4069
202202,1,354980505000081P,3600
202202,1,354980505000081P,3609
202202,1,354980505000081P,3652
202202,4,354980505000082P,3019
202202,1,354980505000082P,3083
202202,1,354980505000083P,3101
202202,1,354980505000083P,3633
202202,1,354980505000084P,3091
202202,1,354980505000089P,5250
202202,1,354980505000089P,5264
202202,1,354980505000089P,5268
202202,1,354980505000090P,5284
202202,1,354980505000090P,5315
202202,1,354980505000094P,4951
202202,1,354980505000095P,5436
202202,1,354980505000102P,4160
202202,1,354980505000106P,3047
202202,3,354980505000108P,3079
202202,1,354980505000110P,3021
202202,1,354980505000111P,3061
202202,1,354980505000113P,4332
202202,1,354980505000115P,4320
202202,1,354980505000115P,4329
202202,1,354980505000116P,4319
202202,1,354980505000118P,4348
202202,1,354980505000119P,4310
202202,1,354980505000119P,4350
202202,2,354980505000122P,6124
202202,1,354980505000122P,6125
202202,2,354980505000124P,6101
202202,1,354980505000127P,7462
202202,1,354980505000128P,5460
202202,2,354980505000129P,5448
