mes_ano,notificacoes,censitario,quarteirao
202212,1,354980505000001P,4456
202212,1,354980505000003P,3767
202212,1,354980505000016P,4084
202212,1,354980505000020P,4676
202212,1,354980505000032P,4015
202212,1,354980505000041P,5419
202212,1,354980505000043P,4654
202212,1,354980505000047P,4512
202212,1,354980505000049P,4433
202212,1,354980505000051P,4998
202212,1,354980505000052P,4988
202212,1,354980505000052P,5072
202212,1,354980505000055P,4077
202212,1,354980505000056P,3641
202212,1,354980505000057P,3601
202212,1,354980505000058P,3648
202212,1,354980505000061P,3616
202212,2,354980505000062P,5262
202212,2,354980505000072P,4576
202212,1,354980505000072P,4635
202212,1,354980505000076P,5050
202212,1,354980505000083P,3088
202212,2,354980505000083P,3633
202212,1,354980505000087P,3033
202212,1,354980505000087P,3106
202212,1,354980505000089P,5230
202212,1,354980505000090P,5235
202212,1,354980505000095P,5011
202212,1,354980505000096P,5036
202212,1,354980505000105P,3115
202212,1,354980505000118P,4345
202212,1,354980505000122P,6124
202212,1,354980505000122P,6125
202212,1,354980505000127P,7462
202212,1,354980505000132P,4398
202212,1,354980505000138P,5684
202212,1,354980505000139P,5561
202212,1,354980505000139P,6232
202212,1,354980505000145P,5677
202212,1,354980505000145P,5734
202212,1,354980505000148P,5578
202212,1,354980505000152P,6267
202212,1,354980505000159P,6227
202212,1,354980505000166P,5597
202212,1,354980505000171P,5867
202212,1,354980505000174P,6167
202212,1,354980505000174P,6215
202212,2,354980505000175P,6178
202212,1,354980505000179P,6384
202212,1,354980505000180P,6319
202212,2,354980505000191P,7112
202212,1,354980505000201P,5716
202212,1,354980505000201P,5800
202212,1,354980505000201P,5813
202212,1,354980505000210P,1279
202212,1,354980505000211P,1261
202212,1,354980505000213P,1168
202212,1,354980505000215P,2382
202212,1,354980505000222P,4548
202212,1,354980505000227P,2268
202212,1,354980505000230P,2283
202212,1,354980505000239P,2650
202212,1,354980505000241P,1968
202212,2,354980505000242P,1963
202212,1,354980505000243P,1945
202212,1,354980505000247P,2319
202212,1,354980505000248P,2337
202212,1,354980505000252P,3391
202212,1,354980505000258P,1991
202212,1,354980505000259P,2029
202212,1,354980505000262P,1646
202212,3,354980505000277P,2218
202212,1,354980505000279P,2089
202212,1,354980505000281P,1948
202212,1,354980505000283P,2107
202212,1,354980505000286P,1665
202212,1,354980505000286P,1668
202212,1,354980505000286P,1749
202212,1,354980505000290P,1005
202212,1,354980505000301P,3364
202212,1,354980505000308P,1950
202212,1,354980505000309P,2052
202212,1,354980505000313P,2024
202212,1,354980505000313P,2027
202212,1,354980505000314P,1984
202212,1,354980505000328P,934
202212,1,354980505000328P,956
202212,1,354980505000329P,962
202212,2,354980505000330P,860
202212,1,354980505000334P,1341
202212,1,354980505000334P,1366
202212,1,354980505000338P,2450
202212,1,354980505000339P,2474
202212,1,354980505000344P,1325
202212,1,354980505000344P,1360
202212,1,354980505000347P,1353
202212,1,354980505000348P,1378
202212,1,354980505000353P,2953
202212,1,354980505000353P,2969
202212,1,354980505000355P,2523
202212,1,354980505000357P,2519
202212,1,354980505000359P,2524
202212,1,354980505000363P,1483
202212,1,354980505000364P,1540
202212,1,354980505000365P,1517
202212,1,354980505000365P,1533
202212,1,354980505000366P,1535
202212,1,354980505000368P,1521
202212,1,354980505000368P,1600
202212,1,354980505000369P,1422
202212,1,354980505000375P,3195
202212,1,354980505000375P,3196
202212,1,354980505000375P,3204
202212,1,354980505000376P,3178
202212,1,354980505000379P,3159
202212,1,354980505000384P,3554
202212,1,354980505000385P,3889
202212,1,354980505000388P,3877
202212,1,354980505000390P,3481
202212,1,354980505000392P,2543
202212,2,354980505000398P,1438
202212,1,354980505000398P,1452
202212,1,354980505000398P,1585
202212,1,354980505000408P,3827
202212,1,354980505000409P,3801
202212,1,354980505000422P,2168
202212,1,354980505000423P,1014
202212,1,354980505000424P,3657
202212,1,354980505000424P,4171
202212,1,354980505000426P,5647
202212,2,354980505000432P,6185
202212,1,354980505000437P,6438
202212,1,354980505000443P,3425
202212,1,354980505000449P,3708
202212,1,354980505000451P,2743
202212,1,354980505000457P,1326
202212,1,354980505000457P,2900
202212,1,354980505000459P,1458
202212,1,354980505000460P,1843
202212,1,354980505000462P,3913
202212,1,354980505000465P,1392
202212,1,354980505000465P,1436
202212,1,354980505000465P,1481
202212,1,354980505000465P,1507
202212,1,354980505000472P,936
202212,1,354980505000472P,1026
202212,1,354980505000476P,18
202212,1,354980505000480P,7046
202212,1,354980505000498P,1548
202212,1,354980505000507P,5733
202212,1,354980505000513P,6444
202212,1,354980505000520P,4695
202212,1,354980505000522P,2586
202212,1,354980505000523P,3508
202212,1,354980505000524P,8357
202212,1,354980505000532P,2197
202212,1,354980505000536P,781
202212,1,354980505000537P,9814
202212,2,354980505000538P,7553
202212,1,354980505000562P,7162
202212,1,354980505000570P,7033
202212,1,354980505000572P,678
202212,1,354980505000579P,4547
202212,1,354980505000581P,4406
202212,1,354980505000587P,4016
202212,1,354980505000587P,4040
202212,2,354980505000587P,4042
