mes_ano,notificacoes,censitario,quarteirao
202304,1,354980505000001P,4405
202304,2,354980505000001P,4456
202304,1,354980505000006P,4554
202304,1,354980505000010P,4438
202304,2,354980505000013P,4424
202304,1,354980505000016P,4084
202304,1,354980505000016P,4115
202304,1,354980505000019P,4637
202304,1,354980505000019P,4677
202304,1,354980505000023P,4509
202304,1,354980505000026P,4540
202304,1,354980505000028P,4427
202304,3,354980505000029P,4465
202304,1,354980505000029P,4542
202304,1,354980505000030P,4531
202304,1,354980505000032P,3991
202304,1,354980505000033P,3998
202304,1,354980505000033P,4021
202304,3,354980505000040P,5362
202304,2,354980505000041P,5385
202304,1,354980505000041P,5410
202304,1,354980505000041P,7902
202304,1,354980505000043P,4636
202304,1,354980505000045P,4580
202304,1,354980505000046P,4452
202304,1,354980505000047P,4512
202304,1,354980505000049P,4433
202304,1,354980505000052P,5008
202304,1,354980505000054P,3937
202304,1,354980505000055P,3984
202304,1,354980505000055P,4077
202304,1,354980505000059P,3625
202304,1,354980505000061P,3040
202304,1,354980505000061P,3044
202304,1,354980505000061P,3626
202304,1,354980505000062P,5261
202304,1,354980505000062P,5288
202304,1,354980505000062P,5324
202304,1,354980505000062P,5325
202304,1,354980505000062P,5326
202304,1,354980505000066P,5224
202304,1,354980505000066P,5421
202304,1,354980505000067P,5364
202304,1,354980505000068P,5380
202304,1,354980505000070P,4607
202304,1,354980505000071P,4605
202304,1,354980505000071P,4685
202304,1,354980505000072P,4576
202304,1,354980505000075P,5078
202304,1,354980505000075P,6074
202304,1,354980505000076P,5019
202304,1,354980505000076P,5040
202304,1,354980505000076P,5074
202304,1,354980505000079P,3977
202304,1,354980505000079P,4120
202304,1,354980505000080P,4043
202304,1,354980505000080P,4071
202304,1,354980505000081P,3097
202304,1,354980505000081P,3600
202304,1,354980505000081P,3609
202304,1,354980505000084P,3087
202304,1,354980505000084P,3093
202304,1,354980505000087P,3052
202304,2,354980505000087P,3073
202304,1,354980505000089P,5248
202304,1,354980505000089P,5263
202304,1,354980505000089P,5266
202304,1,354980505000090P,5245
202304,1,354980505000094P,5003
202304,1,354980505000094P,5020
202304,1,354980505000095P,4968
202304,1,354980505000095P,4978
202304,1,354980505000095P,5011
202304,1,354980505000096P,4986
202304,2,354980505000102P,4158
202304,1,354980505000105P,3115
202304,1,354980505000105P,3598
202304,2,354980505000106P,3599
202304,1,354980505000108P,3102
202304,1,354980505000109P,3030
202304,1,354980505000109P,3048
202304,2,354980505000109P,3060
202304,1,354980505000110P,3080
202304,1,354980505000111P,3062
202304,1,354980505000111P,3078
202304,1,354980505000114P,4307
202304,1,354980505000115P,4320
202304,1,354980505000118P,4347
202304,5,354980505000119P,4310
202304,3,354980505000119P,4335
202304,2,354980505000119P,4350
202304,1,354980505000119P,4351
202304,2,354980505000122P,6124
202304,1,354980505000122P,6125
202304,1,354980505000123P,6091
202304,3,354980505000123P,6094
202304,1,354980505000124P,6102
202304,2,354980505000124P,6144
202304,3,354980505000127P,5447
202304,1,354980505000127P,5449
202304,1,354980505000127P,7462
202304,2,354980505000128P,5468
202304,1,354980505000129P,5448
202304,1,354980505000132P,4386
202304,1,354980505000132P,4390
202304,3,354980505000132P,4400
202304,1,354980505000134P,5712
202304,2,354980505000135P,5720
202304,1,354980505000138P,5624
202304,1,354980505000138P,5626
202304,1,354980505000139P,5558
