mes_ano,notificacoes,censitario,quarteirao
202302,1,354980505000004P,4449
202302,1,354980505000004P,4544
202302,1,354980505000016P,4115
202302,1,354980505000020P,4630
202302,1,354980505000020P,4676
202302,1,354980505000022P,4481
202302,1,354980505000029P,4542
202302,1,354980505000031P,5084
202302,1,354980505000031P,5093
202302,1,354980505000032P,4015
202302,1,354980505000034P,4121
202302,1,354980505000040P,5359
202302,1,354980505000040P,5399
202302,1,354980505000047P,4511
202302,1,354980505000049P,4470
202302,1,354980505000054P,4107
202302,1,354980505000056P,4151
202302,1,354980505000059P,3082
202302,1,354980505000059P,3607
202302,1,354980505000061P,3040
202302,1,354980505000061P,3058
202302,1,354980505000065P,5239
202302,1,354980505000065P,5258
202302,1,354980505000066P,5378
202302,2,354980505000067P,5364
202302,1,354980505000068P,5380
202302,1,354980505000068P,5411
202302,3,354980505000073P,4480
202302,1,354980505000075P,5049
202302,1,354980505000076P,5005
202302,2,354980505000080P,4058
202302,1,354980505000082P,3019
202302,1,354980505000084P,3037
202302,1,354980505000090P,5249
202302,1,354980505000090P,5332
202302,1,354980505000094P,5006
202302,1,354980505000094P,5025
202302,1,354980505000096P,4954
202302,1,354980505000096P,5054
202302,1,354980505000102P,4169
202302,1,354980505000105P,3618
202302,1,354980505000105P,3649
202302,2,354980505000106P,3603
202302,1,354980505000107P,3070
202302,1,354980505000114P,4306
202302,1,354980505000115P,4314
202302,1,354980505000119P,4337
202302,1,354980505000122P,6124
202302,2,354980505000124P,6098
202302,1,354980505000127P,5447
202302,1,354980505000127P,5449
202302,1,354980505000127P,7462
202302,1,354980505000129P,5446
202302,1,354980505000132P,4394
202302,1,354980505000134P,5562
202302,1,354980505000135P,5720
202302,1,354980505000138P,5626
202302,1,354980505000138P,5683
202302,1,354980505000145P,5677
202302,2,354980505000145P,5734
202302,1,354980505000148P,5736
202302,1,354980505000148P,5758
202302,1,354980505000149P,5625
202302,1,354980505000157P,6237
202302,1,354980505000157P,6253
202302,1,354980505000158P,5665
202302,1,354980505000158P,6224
202302,1,354980505000166P,5595
202302,1,354980505000174P,6164
202302,2,354980505000174P,6165
202302,6,354980505000174P,6166
202302,1,354980505000174P,6167
202302,1,354980505000174P,6168
202302,1,354980505000174P,6213
202302,1,354980505000174P,6215
202302,3,354980505000175P,6178
202302,1,354980505000175P,6180
202302,1,354980505000178P,6207
202302,2,354980505000179P,6384
202302,1,354980505000180P,6318
202302,1,354980505000180P,6319
202302,1,354980505000180P,6379
202302,1,354980505000182P,6305
202302,1,354980505000184P,6374
202302,1,354980505000201P,5813
202302,1,354980505000204P,5795
202302,2,354980505000204P,5797
202302,1,354980505000207P,1236
202302,1,354980505000208P,1196
202302,1,354980505000216P,1256
202302,1,354980505000221P,2669
202302,1,354980505000225P,1230
202302,1,354980505000227P,2268
202302,1,354980505000227P,2355
202302,1,354980505000228P,2274
202302,1,354980505000233P,2361
202302,1,354980505000234P,1246
202302,1,354980505000235P,2688
202302,1,354980505000235P,2706
202302,1,354980505000237P,2611
202302,3,354980505000238P,2659
202302,1,354980505000241P,1967
202302,1,354980505000247P,2282
202302,1,354980505000248P,2222
202302,1,354980505000252P,3407
202302,1,354980505000256P,1973
202302,1,354980505000256P,2095
202302,1,354980505000258P,2127
202302,2,354980505000259P,2028
202302,2,354980505000261P,1934
202302,1,354980505000262P,1661
202302,1,354980505000266P,2287
202302,1,354980505000276P,3302
202302,1,354980505000277P,2218
202302,1,354980505000278P,2143
202302,1,354980505000278P,2146
202302,1,354980505000279P,1949
202302,1,354980505000279P,2092
202302,1,354980505000281P,1948
202302,1,354980505000281P,2047
202302,1,354980505000281P,2048
202302,1,354980505000282P,2051
202302,1,354980505000283P,2121
202302,1,354980505000284P,1710
202302,1,354980505000285P,1636
202302,1,354980505000286P,1666
202302,2,354980505000286P,1744
202302,1,354980505000299P,3446
202302,1,354980505000299P,3755
202302,1,354980505000301P,3365
202302,2,354980505000301P,3368
202302,1,354980505000301P,3397
202302,1,354980505000304P,2719
202302,1,354980505000306P,2076
202302,1,354980505000307P,2059
202302,1,354980505000307P,2060
202302,1,354980505000308P,1951
202302,1,354980505000309P,2066
202302,1,354980505000310P,1976
202302,1,354980505000312P,2091
202302,1,354980505000313P,2036
202302,1,354980505000314P,1984
202302,1,354980505000315P,1712
202302,1,354980505000328P,956
202302,4,354980505000329P,962
202302,1,354980505000333P,1335
202302,2,354980505000338P,2418
202302,1,354980505000340P,2423
202302,1,354980505000340P,2456
202302,1,354980505000340P,2491
202302,1,354980505000341P,1062
202302,1,354980505000344P,1360
202302,1,354980505000347P,1311
202302,1,354980505000347P,1342
202302,1,354980505000347P,1353
202302,1,354980505000347P,1354
202302,1,354980505000348P,1332
202302,1,354980505000349P,1610
202302,1,354980505000349P,1617
202302,1,354980505000351P,2988
202302,1,354980505000351P,3002
202302,2,354980505000352P,3575
202302,1,354980505000353P,2953
202302,1,354980505000353P,2976
202302,1,354980505000354P,3595
202302,1,354980505000355P,2466
202302,1,354980505000358P,2510
202302,1,354980505000360P,2441
202302,1,354980505000363P,1407
202302,2,354980505000365P,1517
202302,2,354980505000366P,1532
202302,3,354980505000372P,1603
202302,1,354980505000375P,10301
202302,1,354980505000376P,3154
202302,1,354980505000376P,3209
202302,1,354980505000379P,3158
202302,1,354980505000381P,2951
202302,1,354980505000384P,3563
202302,1,354980505000385P,3920
202302,1,354980505000387P,3919
202302,1,354980505000388P,3876
202302,1,354980505000390P,3492
202302,1,354980505000391P,2537
202302,1,354980505000391P,2547
202302,1,354980505000398P,1438
202302,1,354980505000398P,1514
202302,1,354980505000400P,1417
202302,1,354980505000408P,3844
202302,1,354980505000409P,3836
202302,1,354980505000416P,3489
202302,1,354980505000422P,2073
202302,1,354980505000424P,3656
