mes_ano,ABRANGENCI,notificacoes
202308,ANCHIETA,23
202308,CAIC,15
202308,CENTRAL,38
202308,CIDADE JARDIM,25
202308,ELDORADO,17
202308,ENGENHEIRO SCHMITT,13
202308,ESTORIL,48
202308,FRATERNIDADE,6
202308,GABRIELA,15
202308,GONZAGA DE CAMPOS,9
202308,JAGUARE,32
202308,JARDIM AMERICANO,17
202308,LEALDADE E AMIZADE,11
202308,LUZ DA ESPERANCA,22
202308,MARIA LUCIA,37
202308,NOVA ESPERANCA,7
202308,PARQUE DA CIDADANIA,8
202308,PARQUE INDUSTRIAL,27
202308,RENASCER,14
202308,RIO PRETO I,18
202308,SANTO ANTONIO,42
202308,SAO DEOCLECIANO,44
202308,SAO FRANCISCO,44
202308,SOLO SAGRADO,39
202308,TALHADO,10
202308,VETORAZZO,37
202308,VILA ELVIRA,18
202308,VILA MAYOR,17
202308,VILA TONINHO,25
