mes_ano,ABRANGENCI,notificacoes
202307,ANCHIETA,23
202307,CAIC,18
202307,CENTRAL,26
202307,CIDADE JARDIM,16
202307,ELDORADO,15
202307,ENGENHEIRO SCHMITT,9
202307,ESTORIL,36
202307,FRATERNIDADE,4
202307,GABRIELA,8
202307,GONZAGA DE CAMPOS,11
202307,JAGUARE,36
202307,JARDIM AMERICANO,15
202307,LEALDADE E AMIZADE,8
202307,LUZ DA ESPERANCA,13
202307,MARIA LUCIA,35
202307,NOVA ESPERANCA,3
202307,PARQUE DA CIDADANIA,11
202307,PARQUE INDUSTRIAL,32
202307,RENASCER,12
202307,RIO PRETO I,9
202307,SANTO ANTONIO,37
202307,SAO DEOCLECIANO,36
202307,SAO FRANCISCO,48
202307,SOLO SAGRADO,23
202307,TALHADO,8
202307,VETORAZZO,24
202307,VILA ELVIRA,15
202307,VILA MAYOR,18
202307,VILA TONINHO,25
